Nivel,Tema,Concepto,Ejercicio
"2","Comparación visual","Boxplot","¿Qué modalidad muestra la mediana más a la derecha?"
"2","Comparación visual","Boxplot","¿Qué diferencia visible acompaña a las cajas?"
"2","Comparación visual","Violin plot","¿Qué día muestra el menor tamaño de grupo en las etiquetas?"
"2","Comparación visual","Violin plot","¿Qué cambia al recorrer las tres bandas?"
"2","Comparación visual","ECDF","En el umbral final de 8 tacos, ¿qué modalidad acumula mayor proporción?"
"2","Comparación visual","ECDF","En el primer umbral de 2 tacos, ¿qué curva estaba más alta?"
"2","Valores atípicos","Outliers","¿Qué valor queda marcado más allá de la cerca superior?"
"2","Valores atípicos","Outliers","¿Qué acción acompaña al máximo en el estado final?"
"2","Valores atípicos","Leverage","¿Qué ocurre al retirar el minuto extremo de la recta descriptiva?"
"2","Valores atípicos","Leverage","¿Qué combinación muestra el estado final?"
"2","Valores atípicos","Error de captura","¿Qué caso nuevo mezcla un total de turno con un pedido?"
"2","Valores atípicos","Error de captura","¿Qué par queda clasificado como error confirmado?"
"2","Valores atípicos","Caso raro válido","¿Qué casos muestran los comprobantes como raros válidos?"
"2","Valores atípicos","Caso raro válido","¿Qué acción visible corresponde a esos dos casos?"
"3","Probabilidad básica","Evento","Observa unidades seleccionadas y cita una marca visible. Incidente guiado de Evento: ¿Qué convierte a 'especie Adelie' en un evento?"
"3","Probabilidad básica","Evento","Observa unidades seleccionadas y cita una marca visible. Incidente de transferencia de Evento: Si cambias la regla del evento, ¿qué debe cambiar en la evidencia?"
"3","Probabilidad básica","Complemento","Observa partición completa y cita una marca visible. Incidente guiado de Complemento: Si el evento es 'Adelie', ¿qué representa el complemento?"
"3","Probabilidad básica","Complemento","Observa partición completa y cita una marca visible. Incidente de transferencia de Complemento: ¿Qué debe cumplirse para usar P(no A) = 1 - P(A)?"
"3","Probabilidad básica","Independencia","Observa celdas y tasas condicionadas y cita una marca visible. Incidente guiado de Independencia: ¿Qué evidencia contradice independencia entre especie e isla?"
"3","Probabilidad básica","Independencia","Observa celdas y tasas condicionadas y cita una marca visible. Incidente de transferencia de Independencia: ¿Qué conclusión prudente permite la comparación?"
"3","Probabilidad básica","Probabilidad condicional","Observa universo, condición y evento y cita una marca visible. Incidente guiado de Probabilidad condicional: Para P(Adelie | Torgersen), ¿cuál es el denominador correcto?"
"3","Probabilidad básica","Probabilidad condicional","Observa universo, condición y evento y cita una marca visible. Incidente de transferencia de Probabilidad condicional: ¿Qué error comete quien usa el total de 344 como denominador después del filtro?"
"3","Variables aleatorias","Bernoulli","Observa ensayos 0/1 y cita una marca visible. Incidente guiado de Bernoulli: ¿Qué representa un 1 en la variable Bernoulli de alta demanda?"
"3","Variables aleatorias","Bernoulli","Observa ensayos 0/1 y cita una marca visible. Incidente de transferencia de Bernoulli: Al subir el umbral de éxito, ¿qué debe ocurrir con la proporción de unos?"
"3","Variables aleatorias","Binomial","Observa tallos y masa de probabilidad y cita una marca visible. Incidente guiado de Binomial: ¿Qué cambia al pasar de Bernoulli a Binomial?"
"3","Variables aleatorias","Binomial","Observa tallos y masa de probabilidad y cita una marca visible. Incidente de transferencia de Binomial: Si n aumenta y p se mantiene, ¿qué interpretación del conteo es prudente?"
"3","Variables aleatorias","Normal","Observa centro y curva de densidad y cita una marca visible. Incidente guiado de Normal: ¿Qué rasgo visual sugiere una aproximación normal razonable?"
"3","Variables aleatorias","Normal","Observa centro y curva de densidad y cita una marca visible. Incidente de transferencia de Normal: ¿Cuál es el límite correcto al usar la normal aquí?"
"3","Variables aleatorias","Poisson","Observa eventos y conteos por ventana y cita una marca visible. Incidente guiado de Poisson: ¿Qué condición hace razonable pensar en Poisson?"
"3","Variables aleatorias","Poisson","Observa eventos y conteos por ventana y cita una marca visible. Incidente de transferencia de Poisson: ¿Qué sería una mala comparación para Poisson?"
"3","Muestreo","Variabilidad muestral","Observa puntos de estimaciones repetidas y cita una marca visible. Incidente guiado de Variabilidad muestral: ¿Por qué las medias de muestra no son idénticas?"
"3","Muestreo","Variabilidad muestral","Observa puntos de estimaciones repetidas y cita una marca visible. Incidente de transferencia de Variabilidad muestral: ¿Qué decisión es prudente con una muestra pequeña y muy alta?"
"3","Muestreo","Sesgo de selección","Observa marcos y distribuciones comparadas y cita una marca visible. Incidente guiado de Sesgo de selección: ¿Qué evidencia indica sesgo de selección?"
"3","Muestreo","Sesgo de selección","Observa marcos y distribuciones comparadas y cita una marca visible. Incidente de transferencia de Sesgo de selección: ¿Qué debe reportarse junto con una estimación de muestra sesgada?"
"3","Muestreo","Ley de los grandes números","Observa trayectoria de la media acumulada y cita una marca visible. Incidente guiado de Ley de los grandes números: ¿Qué patrón ilustra la ley de los grandes números?"
"3","Muestreo","Ley de los grandes números","Observa trayectoria de la media acumulada y cita una marca visible. Incidente de transferencia de Ley de los grandes números: ¿Qué NO promete esta ley?"
"3","Incertidumbre","Error estándar","Observa intervalos frente a n y cita una marca visible. Incidente guiado de Error estándar: ¿Qué reduce el error estándar de la media?"
"3","Incertidumbre","Error estándar","Observa intervalos frente a n y cita una marca visible. Incidente de transferencia de Error estándar: ¿Qué diferencia clave hay entre DE y error estándar?"
"3","Incertidumbre","Intervalo de confianza","Observa intervalos repetidos y cita una marca visible. Incidente guiado de Intervalo de confianza: ¿Qué interpretación es correcta para un intervalo del 95%?"
"3","Incertidumbre","Intervalo de confianza","Observa intervalos repetidos y cita una marca visible. Incidente de transferencia de Intervalo de confianza: ¿Qué hace un nivel de confianza más alto si n se mantiene?"
"3","Incertidumbre","Bootstrap","Observa distribución de remuestras y cita una marca visible. Incidente guiado de Bootstrap: ¿Qué produce una corrida bootstrap?"
"3","Incertidumbre","Bootstrap","Observa distribución de remuestras y cita una marca visible. Incidente de transferencia de Bootstrap: ¿Qué limitación debe reportarse al usar bootstrap?"
"3","Pruebas de hipótesis","Hipótesis","Observa distribución nula y estadístico y cita una marca visible. Incidente guiado de Hipótesis: ¿Qué hace que una hipótesis sea estadística?"
"3","Pruebas de hipótesis","Hipótesis","Observa distribución nula y estadístico y cita una marca visible. Incidente de transferencia de Hipótesis: ¿Qué conclusión prudente sale antes del p-value?"
"3","Pruebas de hipótesis","p-value","Observa cola extrema sombreada y cita una marca visible. Incidente guiado de p-value: ¿Qué probabilidad representa el p-value?"
"3","Pruebas de hipótesis","p-value","Observa cola extrema sombreada y cita una marca visible. Incidente de transferencia de p-value: ¿Qué debe acompañar a un p-value pequeño?"
"3","Pruebas de hipótesis","Error tipo I","Observa región de rechazo y cita una marca visible. Incidente guiado de Error tipo I: ¿Qué representa alpha en este contexto?"
"3","Pruebas de hipótesis","Error tipo I","Observa región de rechazo y cita una marca visible. Incidente de transferencia de Error tipo I: ¿Qué pasa si aumentas alpha de 0.01 a 0.10?"
"3","Pruebas de hipótesis","Error tipo II","Observa área beta entre curvas y cita una marca visible. Incidente guiado de Error tipo II: ¿Qué describe un error tipo II?"
"3","Pruebas de hipótesis","Error tipo II","Observa área beta entre curvas y cita una marca visible. Incidente de transferencia de Error tipo II: ¿Qué significa 'no significativo' con baja potencia?"
"3","Pruebas de hipótesis","Potencia","Observa curva de potencia y cita una marca visible. Incidente guiado de Potencia: ¿Qué suele aumentar la potencia?"
"3","Pruebas de hipótesis","Potencia","Observa curva de potencia y cita una marca visible. Incidente de transferencia de Potencia: ¿Qué debe especificarse al reportar potencia?"
"4","Relación visual","Scatterplot","Observa puntos de la nube y cita una marca visible. ¿Qué lectura de scatterplot está respaldada por el incidente guiado?"
"4","Relación visual","Scatterplot","Observa puntos de la nube y cita una marca visible. Al transferir scatterplot a otro grupo, ¿qué debe conservarse?"
"4","Relación visual","Tendencia","Observa puntos y línea descriptiva y cita una marca visible. ¿Qué lectura de tendencia está respaldada por el incidente guiado?"
"4","Relación visual","Tendencia","Observa puntos y línea descriptiva y cita una marca visible. Al transferir tendencia a otro grupo, ¿qué debe conservarse?"
"4","Relación visual","Forma de relación","Observa paneles lineal, curvo y sin patrón y cita una marca visible. ¿Qué lectura de forma de relación está respaldada por el incidente guiado?"
"4","Relación visual","Forma de relación","Observa paneles lineal, curvo y sin patrón y cita una marca visible. Al transferir forma de relación a otro grupo, ¿qué debe conservarse?"
"4","Relación visual","Grupos","Observa puntos identificados por grupo y cita una marca visible. ¿Qué lectura de grupos está respaldada por el incidente guiado?"
"4","Relación visual","Grupos","Observa puntos identificados por grupo y cita una marca visible. Al transferir grupos a otro grupo, ¿qué debe conservarse?"
"4","Correlación","Dirección","Observa pendientes positiva, negativa y nula y cita una marca visible. ¿Qué lectura de dirección está respaldada por el incidente guiado?"
"4","Correlación","Dirección","Observa pendientes positiva, negativa y nula y cita una marca visible. Al transferir dirección a otro grupo, ¿qué debe conservarse?"
"4","Correlación","Fuerza","Observa nubes con distinta dispersión y cita una marca visible. ¿Qué lectura de fuerza está respaldada por el incidente guiado?"
"4","Correlación","Fuerza","Observa nubes con distinta dispersión y cita una marca visible. Al transferir fuerza a otro grupo, ¿qué debe conservarse?"
"4","Correlación","Pearson","Observa puntos y contribuciones de covarianza y cita una marca visible. ¿Qué lectura de pearson está respaldada por el incidente guiado?"
"4","Correlación","Pearson","Observa puntos y contribuciones de covarianza y cita una marca visible. Al transferir pearson a otro grupo, ¿qué debe conservarse?"
"4","Correlación","Spearman","Observa posiciones de rango y cita una marca visible. ¿Qué lectura de spearman está respaldada por el incidente guiado?"
"4","Correlación","Spearman","Observa posiciones de rango y cita una marca visible. Al transferir spearman a otro grupo, ¿qué debe conservarse?"
"4","Correlación","Correlación y extremos","Observa ajuste con el punto extremo y cita una marca visible. ¿Qué lectura de correlación y extremos está respaldada por el incidente guiado?"
"4","Correlación","Correlación y extremos","Observa ajuste con el punto extremo y cita una marca visible. Al transferir correlación y extremos a otro grupo, ¿qué debe conservarse?"
"4","Confusión","Causalidad","Observa nodos y flechas alternativas y cita una marca visible. ¿Qué lectura de causalidad está respaldada por el incidente guiado?"
"4","Confusión","Causalidad","Observa nodos y flechas alternativas y cita una marca visible. Al transferir causalidad a otro grupo, ¿qué debe conservarse?"
"4","Confusión","Confusores","Observa DAG y estratos y cita una marca visible. ¿Qué lectura de confusores está respaldada por el incidente guiado?"
"4","Confusión","Confusores","Observa DAG y estratos y cita una marca visible. Al transferir confusores a otro grupo, ¿qué debe conservarse?"
"4","Confusión","Sesgo de agregación","Observa líneas por grupo y agregada y cita una marca visible. ¿Qué lectura de sesgo de agregación está respaldada por el incidente guiado?"
"4","Confusión","Sesgo de agregación","Observa líneas por grupo y agregada y cita una marca visible. Al transferir sesgo de agregación a otro grupo, ¿qué debe conservarse?"
"4","Tablas cruzadas","Proporciones","Observa celdas de la tabla 2×2 y cita una marca visible. ¿Qué lectura de proporciones está respaldada por el incidente guiado?"
"4","Tablas cruzadas","Proporciones","Observa celdas de la tabla 2×2 y cita una marca visible. Al transferir proporciones a otro grupo, ¿qué debe conservarse?"
"4","Tablas cruzadas","Riesgo relativo","Observa riesgos y referencia de razón 1 y cita una marca visible. ¿Qué lectura de riesgo relativo está respaldada por el incidente guiado?"
"4","Tablas cruzadas","Riesgo relativo","Observa riesgos y referencia de razón 1 y cita una marca visible. Al transferir riesgo relativo a otro grupo, ¿qué debe conservarse?"
"4","Tablas cruzadas","Odds","Observa evento, no evento y escala de odds y cita una marca visible. ¿Qué lectura de odds está respaldada por el incidente guiado?"
"4","Tablas cruzadas","Odds","Observa evento, no evento y escala de odds y cita una marca visible. Al transferir odds a otro grupo, ¿qué debe conservarse?"
"5","Arquitectura invisible de los datos","Unidad y granularidad","Observa filas y unidad antes y después del cambio de granularidad y cita una marca visible. ¿Qué decisión sobre unidad y granularidad está respaldada por las tres etapas?"
"5","Arquitectura invisible de los datos","Unidad y granularidad","Observa filas y unidad antes y después del cambio de granularidad y cita una marca visible. ¿Qué debe volver a comprobarse al transferir unidad y granularidad a otro caso?"
"5","Arquitectura invisible de los datos","Esquema y claves","Observa campos tipados y enlaces PK/FK y cita una marca visible. ¿Qué decisión sobre esquema y claves está respaldada por las tres etapas?"
"5","Arquitectura invisible de los datos","Esquema y claves","Observa campos tipados y enlaces PK/FK y cita una marca visible. ¿Qué debe volver a comprobarse al transferir esquema y claves a otro caso?"
"5","SQL para hacer preguntas","Consulta orientada a pregunta","Observa pregunta, operaciones y tabla resultante y cita una marca visible. ¿Qué decisión sobre consulta orientada a pregunta está respaldada por las tres etapas?"
"5","SQL para hacer preguntas","Consulta orientada a pregunta","Observa pregunta, operaciones y tabla resultante y cita una marca visible. ¿Qué debe volver a comprobarse al transferir consulta orientada a pregunta a otro caso?"
"5","SQL para hacer preguntas","Agregación y grupos","Observa grupos, numeradores y denominadores y cita una marca visible. ¿Qué decisión sobre agregación y grupos está respaldada por las tres etapas?"
"5","SQL para hacer preguntas","Agregación y grupos","Observa grupos, numeradores y denominadores y cita una marca visible. ¿Qué debe volver a comprobarse al transferir agregación y grupos a otro caso?"
"5","Relaciones y JOINs","Semántica de JOIN y anti-join","Observa matched, left-only y right-only y cita una marca visible. ¿Qué decisión sobre semántica de join y anti-join está respaldada por las tres etapas?"
"5","Relaciones y JOINs","Semántica de JOIN y anti-join","Observa matched, left-only y right-only y cita una marca visible. ¿Qué debe volver a comprobarse al transferir semántica de join y anti-join a otro caso?"
"5","Relaciones y JOINs","Cardinalidad de JOIN","Observa nodos, enlaces y pares esperados y cita una marca visible. ¿Qué decisión sobre cardinalidad de join está respaldada por las tres etapas?"
"5","Relaciones y JOINs","Cardinalidad de JOIN","Observa nodos, enlaces y pares esperados y cita una marca visible. ¿Qué debe volver a comprobarse al transferir cardinalidad de join a otro caso?"
"5","Relaciones y JOINs","Explosión de filas en un JOIN","Observa pares del JOIN, filas resultantes, noches únicas y suma reconciliada y cita una marca visible. ¿Qué decisión sobre explosión de filas en un join está respaldada por las tres etapas?"
"5","Relaciones y JOINs","Explosión de filas en un JOIN","Observa pares del JOIN, filas resultantes, noches únicas y suma reconciliada y cita una marca visible. ¿Qué debe volver a comprobarse al transferir explosión de filas en un join a otro caso?"
"5","SQL analítico y tiempo","CTE trazable","Observa etapas y conteos de entrada y salida y cita una marca visible. ¿Qué decisión sobre cte trazable está respaldada por las tres etapas?"
"5","SQL analítico y tiempo","CTE trazable","Observa etapas y conteos de entrada y salida y cita una marca visible. ¿Qué debe volver a comprobarse al transferir cte trazable a otro caso?"
"5","SQL analítico y tiempo","Funciones de ventana","Observa particiones, orden y filas conservadas y cita una marca visible. ¿Qué decisión sobre funciones de ventana está respaldada por las tres etapas?"
"5","SQL analítico y tiempo","Funciones de ventana","Observa particiones, orden y filas conservadas y cita una marca visible. ¿Qué debe volver a comprobarse al transferir funciones de ventana a otro caso?"
"5","SQL analítico y tiempo","Rezagos y fecha de corte","Observa línea temporal, rezagos y corte y cita una marca visible. ¿Qué decisión sobre rezagos y fecha de corte está respaldada por las tres etapas?"
"5","SQL analítico y tiempo","Rezagos y fecha de corte","Observa línea temporal, rezagos y corte y cita una marca visible. ¿Qué debe volver a comprobarse al transferir rezagos y fecha de corte a otro caso?"
"5","Construcción de la tabla analítica","Población y ventanas","Observa población y ventanas temporales separadas y cita una marca visible. ¿Qué decisión sobre población y ventanas está respaldada por las tres etapas?"
"5","Construcción de la tabla analítica","Población y ventanas","Observa población y ventanas temporales separadas y cita una marca visible. ¿Qué debe volver a comprobarse al transferir población y ventanas a otro caso?"
"5","Construcción de la tabla analítica","ABT temporal","Observa fuentes y fila final de la ABT y cita una marca visible. ¿Qué decisión sobre abt temporal está respaldada por las tres etapas?"
"5","Construcción de la tabla analítica","ABT temporal","Observa fuentes y fila final de la ABT y cita una marca visible. ¿Qué debe volver a comprobarse al transferir abt temporal a otro caso?"
"5","Construcción de la tabla analítica","Deduplicación por entidad","Observa versiones y observación válida seleccionada y cita una marca visible. ¿Qué decisión sobre deduplicación por entidad está respaldada por las tres etapas?"
"5","Construcción de la tabla analítica","Deduplicación por entidad","Observa versiones y observación válida seleccionada y cita una marca visible. ¿Qué debe volver a comprobarse al transferir deduplicación por entidad a otro caso?"
"5","Fuentes y formatos modernos","CSV frente a Parquet","Observa celdas leídas por fila o columna y cita una marca visible. ¿Qué decisión sobre csv frente a parquet está respaldada por las tres etapas?"
"5","Fuentes y formatos modernos","CSV frente a Parquet","Observa celdas leídas por fila o columna y cita una marca visible. ¿Qué debe volver a comprobarse al transferir csv frente a parquet a otro caso?"
"5","Fuentes y formatos modernos","API paginada","Observa páginas, cursor, retry e IDs y cita una marca visible. ¿Qué decisión sobre api paginada está respaldada por las tres etapas?"
"5","Fuentes y formatos modernos","API paginada","Observa páginas, cursor, retry e IDs y cita una marca visible. ¿Qué debe volver a comprobarse al transferir api paginada a otro caso?"
"5","Fuentes y formatos modernos","DuckDB y Polars","Observa flujos SQL y columnar comparados y cita una marca visible. ¿Qué decisión sobre duckdb y polars está respaldada por las tres etapas?"
"5","Fuentes y formatos modernos","DuckDB y Polars","Observa flujos SQL y columnar comparados y cita una marca visible. ¿Qué debe volver a comprobarse al transferir duckdb y polars a otro caso?"
"5","Calidad, contratos y procedencia","Contrato y esquema","Observa cambio compatible o rechazado y cita una marca visible. ¿Qué decisión sobre contrato y esquema está respaldada por las tres etapas?"
"5","Calidad, contratos y procedencia","Contrato y esquema","Observa cambio compatible o rechazado y cita una marca visible. ¿Qué debe volver a comprobarse al transferir contrato y esquema a otro caso?"
"5","Calidad, contratos y procedencia","Integridad de datos","Observa checks y filas afectadas y cita una marca visible. ¿Qué decisión sobre integridad de datos está respaldada por las tres etapas?"
"5","Calidad, contratos y procedencia","Integridad de datos","Observa checks y filas afectadas y cita una marca visible. ¿Qué debe volver a comprobarse al transferir integridad de datos a otro caso?"
"5","Calidad, contratos y procedencia","Linaje y snapshot","Observa fuentes, transformaciones, versión y hash y cita una marca visible. ¿Qué decisión sobre linaje y snapshot está respaldada por las tres etapas?"
"5","Calidad, contratos y procedencia","Linaje y snapshot","Observa fuentes, transformaciones, versión y hash y cita una marca visible. ¿Qué debe volver a comprobarse al transferir linaje y snapshot a otro caso?"
"6","Regresión lineal","Ajuste","Observa puntos y recta ajustada y cita una marca visible. ¿Qué conclusión guiada sobre ajuste respeta el momento de decisión?"
"6","Regresión lineal","Ajuste","Observa puntos y recta ajustada y cita una marca visible. ¿Qué debe cambiar al transferir ajuste a otra decisión?"
"6","Regresión lineal","Pendiente","Observa triángulo subida/avance y cita una marca visible. ¿Qué conclusión guiada sobre pendiente respeta el momento de decisión?"
"6","Regresión lineal","Pendiente","Observa triángulo subida/avance y cita una marca visible. ¿Qué debe cambiar al transferir pendiente a otra decisión?"
"6","Regresión lineal","Intercepto","Observa cruce con el eje y cita una marca visible. ¿Qué conclusión guiada sobre intercepto respeta el momento de decisión?"
"6","Regresión lineal","Intercepto","Observa cruce con el eje y cita una marca visible. ¿Qué debe cambiar al transferir intercepto a otra decisión?"
"6","Regresión lineal","Residuales","Observa segmentos y residuales y cita una marca visible. ¿Qué conclusión guiada sobre residuales respeta el momento de decisión?"
"6","Regresión lineal","Residuales","Observa segmentos y residuales y cita una marca visible. ¿Qué debe cambiar al transferir residuales a otra decisión?"
"6","Regresión lineal","Supuestos","Observa cuatro paneles diagnósticos y cita una marca visible. ¿Qué conclusión guiada sobre supuestos respeta el momento de decisión?"
"6","Regresión lineal","Supuestos","Observa cuatro paneles diagnósticos y cita una marca visible. ¿Qué debe cambiar al transferir supuestos a otra decisión?"
"6","Regresión múltiple","Variables explicativas","Observa coeficientes e intervalos y cita una marca visible. ¿Qué conclusión guiada sobre variables explicativas respeta el momento de decisión?"
"6","Regresión múltiple","Variables explicativas","Observa coeficientes e intervalos y cita una marca visible. ¿Qué debe cambiar al transferir variables explicativas a otra decisión?"
"6","Regresión múltiple","Interacción","Observa líneas con pendientes diferentes y cita una marca visible. ¿Qué conclusión guiada sobre interacción respeta el momento de decisión?"
"6","Regresión múltiple","Interacción","Observa líneas con pendientes diferentes y cita una marca visible. ¿Qué debe cambiar al transferir interacción a otra decisión?"
"6","Regresión múltiple","Colinealidad","Observa celdas de relación entre entradas y cita una marca visible. ¿Qué conclusión guiada sobre colinealidad respeta el momento de decisión?"
"6","Regresión múltiple","Colinealidad","Observa celdas de relación entre entradas y cita una marca visible. ¿Qué debe cambiar al transferir colinealidad a otra decisión?"
"6","Clasificación","Clase","Observa puntos coloreados por clase y cita una marca visible. ¿Qué conclusión guiada sobre clase respeta el momento de decisión?"
"6","Clasificación","Clase","Observa puntos coloreados por clase y cita una marca visible. ¿Qué debe cambiar al transferir clase a otra decisión?"
"6","Clasificación","Score","Observa scores ordenados y cita una marca visible. ¿Qué conclusión guiada sobre score respeta el momento de decisión?"
"6","Clasificación","Score","Observa scores ordenados y cita una marca visible. ¿Qué debe cambiar al transferir score a otra decisión?"
"6","Clasificación","Umbral","Observa distribución y umbral y cita una marca visible. ¿Qué conclusión guiada sobre umbral respeta el momento de decisión?"
"6","Clasificación","Umbral","Observa distribución y umbral y cita una marca visible. ¿Qué debe cambiar al transferir umbral a otra decisión?"
"6","Clasificación","Probabilidad","Observa curva score a probabilidad y cita una marca visible. ¿Qué conclusión guiada sobre probabilidad respeta el momento de decisión?"
"6","Clasificación","Probabilidad","Observa curva score a probabilidad y cita una marca visible. ¿Qué debe cambiar al transferir probabilidad a otra decisión?"
"6","Modelos interpretables","Árbol de decisión","Observa nodos y hojas y cita una marca visible. ¿Qué conclusión guiada sobre árbol de decisión respeta el momento de decisión?"
"6","Modelos interpretables","Árbol de decisión","Observa nodos y hojas y cita una marca visible. ¿Qué debe cambiar al transferir árbol de decisión a otra decisión?"
"6","Modelos interpretables","Reglas","Observa ramas si/entonces y cita una marca visible. ¿Qué conclusión guiada sobre reglas respeta el momento de decisión?"
"6","Modelos interpretables","Reglas","Observa ramas si/entonces y cita una marca visible. ¿Qué debe cambiar al transferir reglas a otra decisión?"
"6","Modelos interpretables","Importancia","Observa magnitudes de importancia y cita una marca visible. ¿Qué conclusión guiada sobre importancia respeta el momento de decisión?"
"6","Modelos interpretables","Importancia","Observa magnitudes de importancia y cita una marca visible. ¿Qué debe cambiar al transferir importancia a otra decisión?"
"6","Preparación de variables","Encoding","Observa celdas de la matriz one-hot y cita una marca visible. ¿Qué conclusión guiada sobre encoding respeta el momento de decisión?"
"6","Preparación de variables","Encoding","Observa celdas de la matriz one-hot y cita una marca visible. ¿Qué debe cambiar al transferir encoding a otra decisión?"
"6","Preparación de variables","Scaling","Observa escalas antes y después y cita una marca visible. ¿Qué conclusión guiada sobre scaling respeta el momento de decisión?"
"6","Preparación de variables","Scaling","Observa escalas antes y después y cita una marca visible. ¿Qué debe cambiar al transferir scaling a otra decisión?"
"6","Preparación de variables","Leakage","Observa corte temporal y disponibilidad y cita una marca visible. ¿Qué conclusión guiada sobre leakage respeta el momento de decisión?"
"6","Preparación de variables","Leakage","Observa corte temporal y disponibilidad y cita una marca visible. ¿Qué debe cambiar al transferir leakage a otra decisión?"
"7","Partición de datos","Train","Observa filas asignadas a entrenamiento y cita una marca visible. ¿Qué conclusión guiada sobre train conserva el alcance?"
"7","Partición de datos","Train","Observa filas asignadas a entrenamiento y cita una marca visible. ¿Qué exige transferir train a otra decisión?"
"7","Partición de datos","Validation","Observa alternativas comparadas en validación y cita una marca visible. ¿Qué conclusión guiada sobre validation conserva el alcance?"
"7","Partición de datos","Validation","Observa alternativas comparadas en validación y cita una marca visible. ¿Qué exige transferir validation a otra decisión?"
"7","Partición de datos","Test","Observa sello y apertura única del test y cita una marca visible. ¿Qué conclusión guiada sobre test conserva el alcance?"
"7","Partición de datos","Test","Observa sello y apertura única del test y cita una marca visible. ¿Qué exige transferir test a otra decisión?"
"7","Partición de datos","Cross-validation","Observa folds rotados sin tocar test y cita una marca visible. ¿Qué conclusión guiada sobre cross-validation conserva el alcance?"
"7","Partición de datos","Cross-validation","Observa folds rotados sin tocar test y cita una marca visible. ¿Qué exige transferir cross-validation a otra decisión?"
