question_id,next_if_correct,next_if_wrong,correct_reason,wrong_reason,diagnostic_band
A12,A24,A25,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A24.,La respuesta incorrecta activa una pregunta de prerrequisito o diagnostico fino en A25.,ancla-adaptativa
A13,A24,A25,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A24.,La respuesta incorrecta activa una pregunta de prerrequisito o diagnostico fino en A25.,ancla-adaptativa
A14,A24,A25,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A24.,La respuesta incorrecta activa una pregunta de prerrequisito o diagnostico fino en A25.,ancla-adaptativa
A15,A24,A25,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A24.,La respuesta incorrecta activa una pregunta de prerrequisito o diagnostico fino en A25.,ancla-adaptativa
A16,A26,A24,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A26.,La respuesta incorrecta activa una pregunta de prerrequisito o diagnostico fino en A24.,ancla-adaptativa
A17,A26,A24,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A26.,La respuesta incorrecta activa una pregunta de prerrequisito o diagnostico fino en A24.,ancla-adaptativa
A18,A26,A24,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A26.,La respuesta incorrecta activa una pregunta de prerrequisito o diagnostico fino en A24.,ancla-adaptativa
A19,A26,A24,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A26.,La respuesta incorrecta activa una pregunta de prerrequisito o diagnostico fino en A24.,ancla-adaptativa
A20,A26,A25,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A26.,La respuesta incorrecta activa una pregunta de prerrequisito o diagnostico fino en A25.,ancla-adaptativa
A21,A26,A25,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A26.,La respuesta incorrecta activa una pregunta de prerrequisito o diagnostico fino en A25.,ancla-adaptativa
A22,A26,A25,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A26.,La respuesta incorrecta activa una pregunta de prerrequisito o diagnostico fino en A25.,ancla-adaptativa
A23,A26,A25,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A26.,La respuesta incorrecta activa una pregunta de prerrequisito o diagnostico fino en A25.,ancla-adaptativa
A24,A26,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A26.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,ancla-adaptativa
A25,A26,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A26.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,ancla-adaptativa
A26,END,END,La ruta ya tiene evidencia suficiente o llego al limite de 10 preguntas.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,ancla-adaptativa
L01Q01,A25,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A25.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L1
L01Q02,A25,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A25.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L1
L01Q03,A25,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A25.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L1
L01Q04,A25,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A25.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L1
L01Q05,A25,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A25.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L1
L01Q06,A25,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A25.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L1
L02Q01,A24,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A24.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L2
L02Q02,A24,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A24.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L2
L02Q03,A24,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A24.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L2
L02Q04,A24,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A24.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L2
L02Q05,A24,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A24.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L2
L02Q06,A24,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A24.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L2
L03Q01,A16,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A16.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L3
L03Q02,A16,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A16.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L3
L03Q03,A16,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A16.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L3
L03Q04,A16,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A16.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L3
L03Q05,A16,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A16.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L3
L03Q06,A16,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A16.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L3
L04Q01,A13,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A13.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L4
L04Q02,A13,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A13.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L4
L04Q03,A13,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A13.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L4
L04Q04,A13,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A13.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L4
L04Q05,A13,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A13.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L4
L04Q06,A13,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A13.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L4
L05Q01,A15,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A15.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L5
L05Q02,A15,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A15.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L5
L05Q03,A15,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A15.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L5
L05Q04,A15,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A15.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L5
L05Q05,A15,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A15.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L5
L05Q06,A15,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A15.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L5
L06Q01,A23,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A23.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L6
L06Q02,A23,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A23.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L6
L06Q03,A23,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A23.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L6
L06Q04,A23,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A23.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L6
L06Q05,A23,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A23.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L6
L06Q06,A23,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A23.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L6
L07Q01,A12,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A12.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L7
L07Q02,A12,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A12.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L7
L07Q03,A12,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A12.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L7
L07Q04,A12,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A12.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L7
L07Q05,A12,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A12.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L7
L07Q06,A12,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A12.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L7
L08Q01,A21,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A21.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L8
L08Q02,A21,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A21.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L8
L08Q03,A21,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A21.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L8
L08Q04,A21,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A21.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L8
L08Q05,A21,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A21.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L8
L08Q06,A21,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A21.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L8
L09Q01,A22,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A22.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L9
L09Q02,A22,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A22.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L9
L09Q03,A22,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A22.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L9
L09Q04,A22,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A22.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L9
L09Q05,A22,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A22.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L9
L09Q06,A22,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A22.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L9
L10Q01,A17,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A17.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L10
L10Q02,A17,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A17.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L10
L10Q03,A17,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A17.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L10
L10Q04,A17,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A17.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L10
L10Q05,A17,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A17.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L10
L10Q06,A17,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A17.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L10
L11Q01,A20,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A20.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L11
L11Q02,A20,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A20.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L11
L11Q03,A20,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A20.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L11
L11Q04,A20,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A20.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L11
L11Q05,A20,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A20.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L11
L11Q06,A20,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A20.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L11
L12Q01,A26,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A26.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L12
L12Q02,A26,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A26.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L12
L12Q03,A26,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A26.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L12
L12Q04,A26,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A26.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L12
L12Q05,A26,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A26.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L12
L12Q06,A26,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A26.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L12
L13Q01,A19,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A19.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L13
L13Q02,A19,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A19.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L13
L13Q03,A19,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A19.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L13
L13Q04,A19,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A19.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L13
L13Q05,A19,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A19.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L13
L13Q06,A19,END,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A19.,La respuesta incorrecta ya identifica una seccion de repaso sin gastar mas preguntas.,suplementaria-L13
