question_id,level,block_id,concept_ids,difficulty,stem,visual_asset,option_a,option_b,option_c,option_d,correct_option,feedback_correct,feedback_wrong,repasar_tags
A20,11,test-pyramid,unit-tests|failure-cases,11,"Observa docs/placement/assets/diagnostic-visuals/A20-test-pyramid.svg. La pirámide incluye unit, integration, golden y failure cases. ¿Qué prueba protege comportamiento?",docs/placement/assets/diagnostic-visuals/A20-test-pyramid.svg,Un print manual que se ve bien una vez.,Un test que solo verifica que existe el archivo.,Ignorar fixtures porque son lentos.,Un failure case que representa una entrada límite esperada.,D,Correcto: los tests vinculan contrato con comportamiento.,L11 separa correr de conservar comportamiento correcto.,L11:failure-cases;L11:fixtures
A21,8,pca-plane,pca-components|explained-variance,8,Observa docs/placement/assets/diagnostic-visuals/A21-pca-plane.svg. El plano PCA muestra componentes y varianza explicada. ¿Qué advertencia es correcta?,docs/placement/assets/diagnostic-visuals/A21-pca-plane.svg,"Los componentes resumen combinaciones de variables, no son variables originales.",PC1 siempre es la causa principal del resultado.,PCA confirma clases supervisadas.,La varianza explicada elimina necesidad de revisar escala.,A,Correcto: PCA reduce dimensión con límites interpretativos.,No confundir ejes latentes con variables originales.,L8:pca-components;L8:explained-variance
A22,9,ab-test,randomization|guardrails,9,Observa docs/placement/assets/diagnostic-visuals/A22-ab-test.svg. El A/B test muestra mejora en métrica principal y caída en guardrail. ¿Qué decisión es prudente?,docs/placement/assets/diagnostic-visuals/A22-ab-test.svg,Lanzar porque una métrica subio.,"No lanzar automáticamente; revisar efecto, intervalo y guardrail.",Ignorar el grupo control si tratamiento gano.,Cambiar hipótesis después de mirar resultados.,B,"Correcto: experimentación balancea efecto, incertidumbre y guardrails.",Una mejora aislada no basta para decidir.,L9:ab-testing;L9:guardrails
A23,6,leakage-cutoff,leakage|feature-preparation,6,Observa docs/placement/assets/diagnostic-visuals/A23-leakage-cutoff.svg. El diagrama marca una feature calculada después del target. ¿Qué problema hay?,docs/placement/assets/diagnostic-visuals/A23-leakage-cutoff.svg,Mejor feature porque conoce el futuro.,Error solo de estilo de código.,Leakage: usa información no disponible al momento de decisión.,No importa si mejora validation.,C,Correcto: la preparación debe respetar momento de decisión.,Un modelo con futuro filtrado falla fuera del laboratorio.,L6:leakage;L6:feature-preparation
A24,2,boxplot-outlier,outliers|valid-rare-case,2,Observa docs/placement/assets/diagnostic-visuals/A24-boxplot-outlier.svg. El boxplot marca un extremo y una nota de captura. ¿Qué hacer antes de eliminarlo?,docs/placement/assets/diagnostic-visuals/A24-boxplot-outlier.svg,Eliminar todo punto fuera del bigote.,Reemplazarlo por la media sin documentar.,Declarar fraude automáticamente.,"Investigar si es error, faltante codificado o caso raro válido.",D,Correcto: un outlier se investiga antes de modificarlo.,Nivel 2 distingue error de caso raro válido.,L2:outliers;L2:valid-rare-case
A25,1,unit-variable,table|missing,1,Observa docs/placement/assets/diagnostic-visuals/A25-unit-variable.svg. La celda vacía está en una columna numérica de una fila de pedido. ¿Qué acción inicial conserva trazabilidad?,docs/placement/assets/diagnostic-visuals/A25-unit-variable.svg,Mantener el faltante y documentar su efecto.,Cambiarlo a cero para poder sumar.,Convertir toda la columna a texto.,Borrar la fila sin revisar unidad.,A,Correcto: ausencia no es cero y debe documentarse.,La limpieza empieza conservando significado.,L1:missing;L1:table
A26,12,system-blueprint,system-blueprint|trace-reconstruction,12,"Observa docs/placement/assets/diagnostic-visuals/A26-system-blueprint.svg. El blueprint final muestra objetivo, loop, permisos, parada y traza. ¿Qué habilita el handoff a operación?",docs/placement/assets/diagnostic-visuals/A26-system-blueprint.svg,Una respuesta convincente sin logs.,Una trayectoria reconstruible con criterios de parada y aprobación definidos.,Un chatbot con más autonomía y sin límites.,Un backend real aunque el laboratorio no lo necesite.,B,Correcto: L12 entrega sistema trazable listo para readiness de L13.,"Sin parada, permisos y traza no hay operación responsable.",L12:system-blueprint;L12:trace-reconstruction
L01Q01,1,literacy,observation,1,"Diagnóstico de Nivel 1 (Alfabetización de datos). El objetivo es ""Identificar qué unidad representa cada fila"". ¿Cuál respuesta demostraría dominio de Observación?",,Confundir una celda con una observación completa.,Cambiar la unidad de análisis para que la respuesta parezca más clara.,"Usar observación para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Aceptar una conclusión automática aunque exceda los datos disponibles.,C,Correcto: conecta Observación con una acción observable y evidencia verificable.,"Repasa Alfabetización de datos: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L1:literacy;observation
L01Q02,1,literacy,population,1,"Diagnóstico de Nivel 1 (Alfabetización de datos). El objetivo es ""Delimitar el conjunto completo definido por la pregunta"". ¿Cuál respuesta demostraría dominio de Población?",,Llamar población a las filas que casualmente están disponibles.,Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,"Usar población para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",D,Correcto: conecta Población con una acción observable y evidencia verificable.,"Repasa Alfabetización de datos: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L1:literacy;population
L01Q03,1,types,categorical,1,"Diagnóstico de Nivel 1 (Tipos de variables). El objetivo es ""Reconocer etiquetas sin orden inherente"". ¿Cuál respuesta demostraría dominio de Categórica?",,"Usar categórica para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Tratar códigos de categorías como cantidades.,Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,A,Correcto: conecta Categórica con una acción observable y evidencia verificable.,"Repasa Tipos de variables: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L1:types;categorical
L01Q04,1,types,text,1,"Diagnóstico de Nivel 1 (Tipos de variables). El objetivo es ""Distinguir texto libre de categorías normalizadas"". ¿Cuál respuesta demostraría dominio de Texto?",,Contar cada frase completa como una categoría limpia.,"Usar texto para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,B,Correcto: conecta Texto con una acción observable y evidencia verificable.,"Repasa Tipos de variables: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L1:types;text
L01Q05,1,quality,invalid,1,"Diagnóstico de Nivel 1 (Calidad de datos). El objetivo es ""Marcar valores incompatibles sin inventar una corrección"". ¿Cuál respuesta demostraría dominio de Rangos inválidos?",,Cambiar 500 a 50 o borrar 30 porque parecen grandes.,Cambiar la unidad de análisis para que la respuesta parezca más clara.,"Usar rangos inválidos para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Aceptar una conclusión automática aunque exceda los datos disponibles.,C,Correcto: conecta Rangos inválidos con una acción observable y evidencia verificable.,"Repasa Calidad de datos: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L1:quality;invalid
L01Q06,1,preparation,sort,1,"Diagnóstico de Nivel 1 (Preparación básica). El objetivo es ""Cambiar la posición de filas sin alterar sus valores"". ¿Cuál respuesta demostraría dominio de Ordenar?",,Interpretar el primer registro ordenado como el primero temporal.,Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,"Usar ordenar para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",D,Correcto: conecta Ordenar con una acción observable y evidencia verificable.,"Repasa Preparación básica: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L1:preparation;sort
L02Q01,2,summary,mean,2,"Diagnóstico de Nivel 2 (Resumen numérico). El objetivo es ""Calcular e interpretar la media como punto de equilibrio"". ¿Cuál respuesta demostraría dominio de Media?",,"Usar media para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Tratar la media como un valor típico aunque existan extremos o asimetría.,Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,A,Correcto: conecta Media con una acción observable y evidencia verificable.,"Repasa Resumen numérico: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L2:summary;mean
L02Q02,2,summary,range,2,"Diagnóstico de Nivel 2 (Resumen numérico). El objetivo es ""Calcular la extensión total entre mínimo y máximo"". ¿Cuál respuesta demostraría dominio de Rango?",,Usarlo como descripción completa de variabilidad.,"Usar rango para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,B,Correcto: conecta Rango con una acción observable y evidencia verificable.,"Repasa Resumen numérico: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L2:summary;range
L02Q03,2,distribution,histogram,2,"Diagnóstico de Nivel 2 (Distribuciones). El objetivo es ""Construir e interpretar frecuencias de una variable numérica por intervalos"". ¿Cuál respuesta demostraría dominio de Histograma?",,Confundirlo con barras categóricas o leer cada barra como una observación.,Cambiar la unidad de análisis para que la respuesta parezca más clara.,"Usar histograma para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Aceptar una conclusión automática aunque exceda los datos disponibles.,C,Correcto: conecta Histograma con una acción observable y evidencia verificable.,"Repasa Distribuciones: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L2:distribution;histogram
L02Q04,2,distribution,skew,2,"Diagnóstico de Nivel 2 (Distribuciones). El objetivo es ""Reconocer asimetría y la dirección de una cola prolongada"". ¿Cuál respuesta demostraría dominio de Sesgo?",,Nombrar el sesgo por el lado donde se concentra la mayoría.,Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,"Usar sesgo para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",D,Correcto: conecta Sesgo con una acción observable y evidencia verificable.,"Repasa Distribuciones: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L2:distribution;skew
L02Q05,2,comparison,boxplot,2,"Diagnóstico de Nivel 2 (Comparación visual). El objetivo es ""Comparar mediana, cuartiles, extensión y puntos extremos entre grupos"". ¿Cuál respuesta demostraría dominio de Boxplot?",,"Usar boxplot para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Asumir normalidad o interpretar todo punto exterior como error.,Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,A,Correcto: conecta Boxplot con una acción observable y evidencia verificable.,"Repasa Comparación visual: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L2:comparison;boxplot
L02Q06,2,outliers,outliers,2,"Diagnóstico de Nivel 2 (Valores atípicos). El objetivo es ""Detectar observaciones alejadas y formular preguntas antes de excluirlas"". ¿Cuál respuesta demostraría dominio de Outliers?",,Eliminar todo valor exterior a 1.5 IQR sin revisar dominio ni impacto.,"Usar outliers para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,B,Correcto: conecta Outliers con una acción observable y evidencia verificable.,"Repasa Valores atípicos: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L2:outliers;outliers
L03Q01,3,probability,event,3,"Diagnóstico de Nivel 3 (Probabilidad básica). El objetivo es ""Identificar un evento como subconjunto de resultados posibles"". ¿Cuál respuesta demostraría dominio de Evento?",,Confundir el evento con una fila individual o con toda la tabla.,Cambiar la unidad de análisis para que la respuesta parezca más clara.,"Usar evento para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Aceptar una conclusión automática aunque exceda los datos disponibles.,C,Correcto: conecta Evento con una acción observable y evidencia verificable.,"Repasa Probabilidad básica: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L3:probability;event
L03Q02,3,probability,conditional-probability,3,"Diagnóstico de Nivel 3 (Probabilidad básica). El objetivo es ""Calcular una probabilidad dentro de un subconjunto dado"". ¿Cuál respuesta demostraría dominio de Probabilidad condicional?",,Mantener el denominador total después de filtrar por la condición.,Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,"Usar probabilidad condicional para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",D,Correcto: conecta Probabilidad condicional con una acción observable y evidencia verificable.,"Repasa Probabilidad básica: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L3:probability;conditional-probability
L03Q03,3,random-variables,normal,3,"Diagnóstico de Nivel 3 (Variables aleatorias). El objetivo es ""Reconocer una distribución continua simétrica como aproximación útil bajo supuestos"". ¿Cuál respuesta demostraría dominio de Normal?",,"Usar normal para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.","Usar la normal sin revisar forma, escala o si la variable es continua.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,A,Correcto: conecta Normal con una acción observable y evidencia verificable.,"Repasa Variables aleatorias: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L3:random-variables;normal
L03Q04,3,sampling,selection-bias,3,"Diagnóstico de Nivel 3 (Muestreo). El objetivo es ""Detectar cuándo el proceso de selección cambia el grupo observado"". ¿Cuál respuesta demostraría dominio de Sesgo de selección?",,Confundir una muestra grande con una muestra representativa.,"Usar sesgo de selección para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,B,Correcto: conecta Sesgo de selección con una acción observable y evidencia verificable.,"Repasa Muestreo: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L3:sampling;selection-bias
L03Q05,3,uncertainty,confidence-interval,3,"Diagnóstico de Nivel 3 (Incertidumbre). El objetivo es ""Comunicar una estimación con un rango de incertidumbre bajo un método"". ¿Cuál respuesta demostraría dominio de Intervalo de confianza?",,Decir que hay 95% de probabilidad de que el parámetro fijo esté dentro del intervalo observado.,Cambiar la unidad de análisis para que la respuesta parezca más clara.,"Usar intervalo de confianza para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Aceptar una conclusión automática aunque exceda los datos disponibles.,C,Correcto: conecta Intervalo de confianza con una acción observable y evidencia verificable.,"Repasa Incertidumbre: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L3:uncertainty;confidence-interval
L03Q06,3,hypothesis,p-value,3,"Diagnóstico de Nivel 3 (Pruebas de hipótesis). El objetivo es ""Interpretar p-value como rareza de la evidencia bajo una hipótesis nula"". ¿Cuál respuesta demostraría dominio de p-value?",,Decir que es la probabilidad de que H0 sea verdadera.,Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,"Usar p-value para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",D,Correcto: conecta p-value con una acción observable y evidencia verificable.,"Repasa Pruebas de hipótesis: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L3:hypothesis;p-value
L04Q01,4,visual-relation,scatterplot,4,"Diagnóstico de Nivel 4 (Relación visual). El objetivo es ""Construir una nube de puntos para dos variables numéricas"". ¿Cuál respuesta demostraría dominio de Scatterplot?",,"Usar scatterplot para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.","Convertir asociación en causa o ignorar grupos, extremos y denominadores.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,A,Correcto: conecta Scatterplot con una acción observable y evidencia verificable.,"Repasa Relación visual: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L4:visual-relation;scatterplot
L04Q02,4,visual-relation,relationship-shape,4,"Diagnóstico de Nivel 4 (Relación visual). El objetivo es ""Distinguir patrón lineal, curvo y ausencia de patrón"". ¿Cuál respuesta demostraría dominio de Forma de relación?",,"Convertir asociación en causa o ignorar grupos, extremos y denominadores.","Usar forma de relación para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,B,Correcto: conecta Forma de relación con una acción observable y evidencia verificable.,"Repasa Relación visual: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L4:visual-relation;relationship-shape
L04Q03,4,correlation,strength,4,"Diagnóstico de Nivel 4 (Correlación). El objetivo es ""Comparar qué tan estrecho es un patrón"". ¿Cuál respuesta demostraría dominio de Fuerza?",,"Convertir asociación en causa o ignorar grupos, extremos y denominadores.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,"Usar fuerza para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Aceptar una conclusión automática aunque exceda los datos disponibles.,C,Correcto: conecta Fuerza con una acción observable y evidencia verificable.,"Repasa Correlación: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L4:correlation;strength
